Cluster	clsy1234_r1	clsy1234_r2	col0_r1	col0_r2	nrpd1_3_r1	nrpd1_3_r2	NRPD1_3xF_Mut10_r1	NRPD1_3xF_Mut10_r2	NRPD1_3xF_Mut9_r1	NRPD1_3xF_Mut9_r2	NRPD1_3xF_WT2_r1	NRPD1_3xF_WT2_r2	WTSucSul_r1	WTSucSul_r2	nrpd1_49_r1	nrpd1_49_r2	nrpd1_50_r1	nrpd1_50_r2	nrpd1_51_r1	nrpd1_51_r2
merged_2_11345927	0	0.34	188.01	181.82	0	0.2	0.18	0.35	0.17	0.16	7.49	7.02	123.83	133.74	1.58	2.06	0.76	1.22	0	0.5
merged_1_10158914	0	0	4.55	4.84	0	0	0	0.14	0.13	0	8.22	6.56	1.52	2.08	0	0	0	0.12	0	0
merged_5_15754915	0	0	31.07	34.03	0	0	0.16	0.08	0.22	0.21	51.95	50.52	21.78	21.94	0	0	0.22	0.13	0.12	0
merged_2_34620	0	0	0.52	0.56	0.1	0	0	0.07	0	0	1.71	1.82	3.88	3.76	0	0	0.31	0	0.11	0.1
merged_5_11244492	0.14	0	6.11	5.33	0	0	0	0	0.11	0	5.45	5.82	3.33	2.27	0.29	0	0.16	0	0	0
merged_1_12376425	0.09	0	6.3	6.97	0.05	0.03	0.09	0.14	0.23	0.23	12.69	11.34	12.44	11.58	0.05	0.12	0.59	0.65	0.12	0.12
merged_2_17289078	0	0	7.74	7.76	0.14	0	0	0	0.09	0.45	14.82	10.82	6.32	5.26	0	0	0.14	0	0	0
merged_1_11064557	0.02	0.02	6.28	6.87	0.08	0.04	0.1	0.09	0.24	0.44	13.01	12.49	7.16	6.64	0.05	0.04	0.3	0.16	0.06	0
merged_3_9617468	0.03	0.01	3.33	3.41	0.01	0	0.03	0.07	0.1	0.11	5.02	4.54	3.69	3.67	0.03	0.02	0.16	0.24	0	0.01
merged_4_13292779	0.39	0.06	71.99	59.19	0	0	0.07	0	0.38	0	9	8.07	37.43	35.77	0.33	0.13	0.09	0.34	0.1	0
merged_3_11445319	0.05	0.13	17.46	15.04	0.06	0	0.7	0.35	0.6	0.58	20.51	18.28	10.85	9.98	0.06	0.17	1.22	0.85	0	0.06
merged_2_890746	0.45	0.63	24.02	21.92	0.13	0.53	0.68	0.46	0.27	0.95	25.14	22.03	12.43	12.76	0.24	0.54	0.27	0.64	1.02	0.13
merged_2_9859947	0	0	12.32	9.11	0	0	0	0	0	0	14.5	12.02	3.64	5.05	0	0	0	0	0.12	0
merged_2_6474354	0	0.05	1.97	2	0	0	0	0	0.11	0.1	4.52	3.89	3.15	3.41	0.07	0	0.08	0.1	0.09	0
merged_3_4274888	0	0	11.49	9.86	0	0.39	0.71	0.68	0	0	18.09	18.16	5.37	5.89	0	0	0.49	0	0	0
merged_2_3034625	0	0	1.08	1.54	0	0	0.06	0	0	0.05	1.47	1.05	1.52	1.72	0.07	0	0.42	0.1	0.09	0
merged_5_13253688	0	0	0.89	1.34	0	0.05	0	0.04	0.08	0.08	2.53	1.98	1.3	1.31	0	0	0.25	0.07	0	0
merged_4_1291615	0	0	29.21	26.82	0	0	0	0	0	0	40.69	34.89	21.49	21.2	0.46	0.17	1.02	0.92	0	0.12
merged_4_9570321	0.2	0.11	66.89	61.41	0.08	0.26	0.18	0	0.38	1.05	67.19	67.53	20.59	20.5	0	0.22	0.73	0.58	0	0
merged_2_725848	0	0	12.9	12.18	0	0	0	0	0	0	9.49	10.25	1.28	1.12	0	0	0	0	0	0
merged_1_9135535	0.07	0	23.72	19.77	0	0	0	0	0	0	14.09	12.32	13.42	13.64	0.15	0	0.25	0	0	0.08
merged_1_9585504	0	0	4.09	3.95	0	0	0	0	0	0.17	6.88	6.56	2.36	2.04	0	0	0.52	0.16	0	0
merged_2_5506425	0	0.08	5.07	4.24	0.06	0.09	0	0.04	0.27	0.18	6.93	5.37	3.6	3.45	0.05	0.08	0.11	0.61	0.25	0
merged_3_22215842	0	0	65.72	49.91	0.39	0	0	0	0	0.51	60.63	53.05	46.31	47.23	0	0	1.19	0	0	0
merged_5_13178783	0	0	1.57	2.2	0	0	0	0.1	0.05	0	4.16	3.29	2.02	2.94	0	0	0.07	0	0	0
merged_1_20914839	0.15	0	30.28	31.42	0	0.43	0.13	0.12	0	0.46	37.52	35.31	32.61	34.05	0.16	0.24	0.72	1.72	0.59	0
merged_4_5564404	0.28	0.22	1.39	1.34	0	0	0	0	0	0.27	3.72	3.5	1.24	1.71	0	0	0.17	0.5	0	0
